Fever, Fatigue, Cough, LossOfSenses, Sneezing, AchesandPains, RunnyorStuffyNose, SoreThroat, Diarrhoea, Headaches, ShortnessOfBreaths 
Common,	Sometimes,	Common,	Common,	No,	Sometimes,	Rare,	Sometimes,	Rare,	Sometimes,	Sometimes,	Coronavirus
Rare,	Sometimes,	Common,	Sometimes,	Common,	Common,	Common,	Common,	No,	Rare,	No,	Cold
Common,	Common,	Common,	Sometimes,	No,	Common,	Sometimes,	Sometimes,	Sometimes,	Common,	No,	Flu
